Input;Output
An Energy Department spokesman says the sulfur dioxide might be simultaneously recoverable through the use of powdered limestone, which tends to absorb the sulfur.;[]
The yellow beta carotene pigment absorbs blue (not yellow) laser light.;[]
Vitamins could be passed right out of the body without being absorbed, he says.;[]
New Pig Corp., Tipton, Pa., offers a hot-dog-shaped sponge that absorbs polluting liquids around factory machines.;[]
Mr. Gallas says he began looking into melanin about five years ago when he was working on solar energy and was looking for materials that absorb sunlight.;[]
As a result, total investment from all sources, domestic and foreign, of about 16% of gross national product is still way short of the 25% analysts believe is needed to absorb a fast-expanding labor force.;[]
The Monitor's losses are absorbed by the church's working fund.;[]
Most of these losses must be absorbed by the FSLIC, the industry's insurer, analysts said.;[]
Employees who don't move to the rival's factory in Chicago probably will be absorbed by Bally's growing fitness-equipment manufacturing businesses.;[]
It had been long assumed that the agency wouldn't act until late on a Friday afternoon in order to give market participants a weekend to absorb the news.;[]
Their Northern European ancestors had to adapt to a climate where sunny days were few and short and it was important for the skin to absorb sunlight to produce vitamin D.;[]
"Mr. Thunberg of Ried Thunberg said the Fed has ""aggressively"" absorbed reserves over each of the past three days.";[]
On Tuesday, AIDS demonstrators assaulted the headquarters building of the Food and Drug Administration outside Washington.;[]
At least six people were assaulted.;[]
Opponents assaulted the demonstrators with rocks, dirty dishwater and racial epithets.;[]
Mr. Tyson has denied that he tried to kill himself and that he assaulted his wife.;[]
He was detained on June 23, and for two weeks he was regularly assaulted by South African police.;[]
She says six white men, including one wearing a police badge, kidnapped, beat and sexually assaulted her.;[]
John Gil, a San Diego landlord, and Mike Black, an apartment manager, were sued in state Superior Court in San Diego by a tenant who was assaulted by a pet monkey owned by two other renters.;[]
Last year, the NRA ran a newspaper ad featuring a harrowing photo of a frightened woman and asserting that a 20-year-old American woman has a 72% chance of being raped, robbed, or assaulted in her lifetime.;[]
In December 1987 he had told Eric Schwartz of Asiawatch, the same organization represented by Jerome Cohen, that the three detainees, namely Lim Li Kok, Wong Souk Yee, and William Yap, whom I interviewed had said that they were not assaulted.;[]
Mr. LaFree noted that the sentencing disparities were substantial: Black men accused of assaulting black women accounted for 45% of all reported cases, but for only 26% of all men sentenced to the state penitentiary and for only 17% of all men who received sentences of six or more years.;[]
Opponents assaulted the demonstrators with rocks, dirty dishwater, and racial epithets.;[]
In June 1987 he had told Udo Janz of Amnesty International that I was allowed to interview the detainees and they had told me that they were not assaulted.;[]
Prince Norodom Sihanouk, the former Cambodian leader, said this week he was withdrawing from the resistance because the Khmer Rouge continues to attack his forces along the Thai-Cambodia border.;[]
The ship hadn't attacked U.S.-flag vessels or been involved in mine-laying.;[]
His antics once provoked an elderly ruling-party legislator to attack him with a cane.;[]
Pakistani cheating could prompt Moscow to declare the accords void or to attack Afghan-resistance camps in Pakistan.;[]
"If not attacking Mr. Dukakis, his speeches—which end with a ""God Bless You""—have a dreamy, inspirational flair that seems to satisfy many voters younger than himself.";[]
Indian forces attacked Tamil rebel camps in northern Sri Lanka, killing as many as 30 insurgents and 10 soldiers, officials in Colombo said.;[]
One sure sign has reappeared to attest that the interests of the United States must be taking a turn for the good in El Salvador: The country is being attacked.;[]
Steve: Didn't George Bush get attacked by one of his own dogs?;[]
Israeli soldiers attacked a group of Arab guerrillas who had entered Israel from Lebanon, and two soldiers and three guerrillas were killed.;[]
On Friday, Commander Abdul Haq's troops attacked Kabul Airport with new Sacher incendiary rockets.;[]
Rebels said they would attack Jalalabad as soon as the Red Army leaves.;[]
"He wants the world to understand that the real Korean ""miracle"" has been its ability to survive over 5,000 years as an independent country without attacking its neighbors.";[]
When radicals besieged his hotel while he was visiting Seoul last week, he promised them he would make yet another effort to play up to North Korea—by renewing the offer to let the North host several Olympic events.;[]
Thousands of Chinese soccer fans battled police and besieged a rival team's hotel during a riot Monday night.;[]
Budgetary gridlock split their tickets from the presidential line to the House line because they know who the...;[]
In 1347, Mongols besieging the Black Sea port of Caffa began to sicken and die from the plague.;[]
The picture painted in the annual report shows one of the nation’s largest banking corporations besieged by problems that it seems unable to control.;[]
First RepublicBank, besieged with rumors about a possible failure or takeover, said it wouldn't have any comment on the FDIC's activity.;[]
LAW SCHOOLS are besieged by applicants, after a five-year slump.;[]
The last time China tried to cool its economy, in 1985 and 1986, foreign exporters and investors suffered.;[]
Company officials couldn't be reached for elaboration, but Gary P. Smaby, who follows the industry for Needham & Co., said he understood that cooling problems had developed that could delay delivery of the machine.;[]
Zero makes cases, cabinets, and cooling equipment for the electronics industry and industrial and consumer use.;[]
For an auto, Mr. Loehrke envisions the warm end of the pipe heated by the radiator and the condenser end cooled by the outside air.;[]
Then again, other gases might cause a lot of clouds to form, blocking sunlight and cooling things off.;[]
"They can generate such heat they need cooling fans; trunk-mounting avoids turning the passenger compartment into a blast furnace.";[]
Japanese companies already are at the forefront of development of an older generation of superconductors, those that have to be cooled almost to absolute zero.;[]
A front is then expected to move in, but it will cool temperatures only slightly, to 40 to 50 degrees.;[]
Those pumps are used to inject cooling water into the reactor vessel.;[]
Home here is a 12-by-15-foot room, cooled by two portable fans and crowded with three beds and boxes of clothes.;[]
Japan’s ship designs use traditional superconductors: metal-alloys that must be cooled with expensive liquid helium to minus 269 degrees Celsius.;[]
The forecasts indicate auto planners no longer fear that 1989 will bring a recession or that interest rate increases will cool consumer spending.;[]
The picture spans the quarter-century between the mid-'50s and the early '80s, which gives Ms. Lange the chance to frequently change her hair style, to wear a variety of clothes and to dance the Twist.;[]
The stock market collapse destroyed the buyer's financing plans for purchasing the Rheem Manufacturing Co. unit.;[]
Incinerator temperatures destroy the mineral at high degrees Celsius.;[]
Police destroyed the homes of suspected activists during raids in Arab villages.;[]
A fire destroyed one of its Mexican plants, impacting R.G. Barry Corp.'s projected sales.;[]
A virus destroyed information, a program hidden in normal computer software that changes or destroys information at a given time.;[]
The fire destroyed American Pacific Corp.'s vitamin, mineral, and supplement products manufacturing plant.;[]
Tornadoes spawned by Tropical Storm Chris destroyed mobile homes and caused at least one death in the Carolinas.;[]
The explosion destroyed hopes of near-term commercial space travel following the Space Shuttle Challenger disaster.;[]
Israeli warplanes destroyed a PLO base in a deep air raid into Lebanon.;[]
The agreement to phase out chlorofluorocarbons (CFCs) destroy the Earth's protective ozone layer, marking a voluntary decision by the industry.;[]
Fire destroyed the only plant producing rocket fuel for SS-24 intercontinental missiles, as claimed by U.S. officials.;[]
A computer program destroyed data stored in computers at NASA and other U.S. agencies over a five-month period.;[]
In theory, the new technique should dissolve blood clots with less risk of bleeding occurring in other parts of the body, as can happen with current clot dissolvers.;[]
Although some research indicates that Activase can dissolve clots faster than streptokinase, there isn’t any published research showing that the Genentech product can increase survival but such research may be available soon.;[]
The Medical Letter, a respected nonprofit publication that evaluates the effectiveness of drugs for doctors, concluded that Actigall can dissolve gallstones in only about half of patients.;[]
The solvent failed to dissolve non-cholesterol gallstones in two patients, however.;[]
A few aspirin facts: Aspirin tablets take up to 20 minutes to dissolve in your stomach.;[]
The newest report is the latest in a slew of recent research that has made it increasingly difficult to compare the clot-dissolving agents.;[]
Gallstones in seven patients were rapidly dissolved without major surgery by a University of Connecticut researcher.;[]
SmithKline, based in Philadelphia, said it plans to refocus its research related to TPA—or tissue plasminogen activator—on “second generation” products that are designed to dissolve blood clots involved in heart attacks and other vascular problems.;[]
Here are the sentences you requested without numbers at the beginning and without the square brackets removed within the sentences:;[]
The solvent, methyl tert-butyl ether, has been known for some time to dissolve gallstones but hasn’t been widely used because it had to be pumped into the gallbladder by a hand syringe for several hours while the patient was under general anesthesia.;[]
Eminase is given as a single injection over four to five minutes, but appears to dissolve blood clots effectively for several hours.;[]
The devices, whose development a few years ago was hailed as a revolution in medical care, enable doctors to dissolve kidney stones with shock waves.;[]
The gallstones were dissolved by a solvent flushed through the gallbladder at high speed by a new computer-controlled pump, the university’s health center in Farmington announced.;[]
The solvent dissolves the blood clot.;[]
The new technique can dissolve gallstones in anywhere from a few minutes to six hours depending on the number and size of the stones, the university said.;[]
The solvent failed to dissolve non-cholesterol gallstones in two patients, however.;[]
The new technique can dissolve gallstones in anywhere from a few minutes to six hours depending on the number and size of the stones, the university said.;[]
The gallstones were dissolved by a solvent flushed through the gallbladder at high speed by a new computer-controlled pump, the university’s health center in Farmington announced.;[]
Actigall could be used to dissolve the fragments that remain from that procedure.;[]
The drug is designed to dissolve blood clots.;[]
Aspirin tablets take up to 20 minutes to dissolve in your stomach.;[]
Last week, though, some of them were dragged off a train and prevented from traveling to Moscow to meet with President Reagan.;[]
Last September, 22-year-old Kimberly Isaac of Baton Rouge, La., was badly scraped over a large part of her body when a 1977 LTD she had just parked in a grocery-store lot backed up, knocking her over and dragging her in circles.;[]
That hardly allays the fears of the Democratic middle-road and conservative Democrats that Mr. Jackson will drag the party to the edge of disaster.;[]
Before there was much time for further decorating, the lady was dragged off to the guillotine.;[]
Some analysts say West Germany might increase its interest rates and drag British base rates higher as well.;[]
After burying the eggs in the sand, it dragged its body back and forth across the beach until it had eliminated any clues to the nest's location.;[]
Splashed across local papers was the picture of two burly federal marshals dragging a small woman through the car's broken window.;[]
"Exhausted by my efforts, I paused a moment in a shell-hole; in a few seconds I felt myself sinking, and struggle as I might I was sucked down until I was firmly gripped round the waist and still being dragged in.";[]
As I drank water and ate for the first time in two days, my determination to continue the opposition crusade was strengthened.;[]
The upper classes do not take food or water from them nor sit, eat or drink with them.;[]
It happens every year, says Dusty Saunders of the Rocky Mountain News, in Denver: Reporters put in long and weary days on the tour only to have their editors spot them drinking beer with a starlet on TV.;[]
It is impolite to drink less than three glasses and, after the third, it is generally impolite for guests to linger.;[]
The trick is that it is midnight, and the ban on eating, smoking, having sex, and even drinking water applies only to the daylight hours.;[]
You should drink a full eight ounces of water with your tablets.;[]
"In another, they pondered why an observer was ""touched"" by the sight of a woman who took a cup from a fountain, drank water from it, and then rinsed it out.";[]
Mr. Andrews ate rancid mutton fat and drank mare's milk in the Gobi with the best and worst of them.;[]
Now, to persuade more men to drink diet Coke, Coca-Cola Co. is enlisting professional football players.;[]
So the kids gave Mom a watch, said a couple of nice things, and drank a retirement toast in her honor.;[]
Southerners drank more alcoholic beverages than residents of any other U.S. region last year, and households with incomes above $35,000 drank more than any other income group, a study found.;[]
"F.W. Christian, a traveler and writer of the 19th century, said that, after drinking sakau, ""the head remains clear but the legs sometime suffer a temporary paralysis.""";[]
Among those who drink alcoholic beverages worldwide, 8% consume daily amounts that are damaging to their health and to society.;[]
But when the rangers drove the girls to the ranger station, the unattended youth sped away, drank heavily, and 10 hours later smashed into a motorcyclist.;[]
"Seated in the bar of the Member's Club—horse-racing prints on the wall, piano tinkling softly, ladies from the Jewish Community Club gathering for luncheon—Mr. Redmond is astonished to be told that Venezuelans now drink more ""national whiskey"" than 12-year-old scotch.";[]
But in general, Venezuelans traditionally drank 12-year-old scotch such as Johnnie Walker Black Label that never accounted for more than 6% of the U.S. market.;[]
But when the rangers drove the girls to the ranger station, the unattended youth sped away, drank heavily, and 10 hours later smashed into a motorcyclist.;[]
"F.W. Christian, a traveler and writer of the 19th century, said that, after drinking sakau, ""the head remains clear but the legs sometime suffer a temporary paralysis.""";[]
"""Real men,"" Mr. Holley says, ""do drink beer without alcohol.""";[]
Baby hilariously escapes disaster, over and over, as the camera whips around at a hyperanimated pace.;[]
Engineers intend to introduce deliberate flaws into two of the motor's joints to prove that even with these defects, the redesigned motor has enough safety features to ensure that hot gases won't escape from it.;[]
"The leader of a failed coup in August, who escaped from a Manila prison Saturday, called on his supporters in the military to ""act and act boldly.""";[]
All of this took the extraordinary patience and determination of a man who escaped from a German prison camp on his third try and was elected president, also on his third try, after 23 years in opposition.;[]
The escaped convict's name is not Willie Horton, but Joseph Subilosky.;[]
He escaped with only minor cuts.;[]
Last summer, escaping an unwanted takeover, USG effected a leveraged recapitalization.;[]
Fortunately for life on Earth, the nitrogen-oxygen atmosphere is relatively transparent to the long infrared waves coming off the sidewalks, soil, and oceans, allowing the day's solar heat to slowly escape to space.;[]
Frightened, I tried to escape this hybrid of Samir and Othman, but the faster I ran, the faster it pursued me.;[]
Mr. Cossa's grain bin may be filling up, but just last month another 100 peasants -- looking for food and security -- moved into the village to escape the fighting.;[]
For the standard “pap” smear, a technician examines the cells on the swab for visual evidence of abnormalities.;[]
They should examine their systems, especially personal computers, to make sure that only authorized programs can be used.;[]
The researchers called in healthy members of the Mormon family with the cancer clustering and examined them with a fiber optic device.;[]
Mr. McKenzie alleged that the parliamentary committee examining the language bill refused to hear testimony from opponents.;[]
France will examine these proposals closely and intends to put forward her own proposals.;[]
Dr. Kinlen examined leukemia deaths from a U.S. study that had tracked veterans’ smoking.;[]
He has closely examined the works of Hieronymus Bosch, but their crowded worlds of paradise yielded few medical rewards.;[]
Prompted by news reports of alleged misappropriation of funds, the SEC visited the firm’s headquarters with the intention to examine business records.;[]
Enlarged transparencies of drawings that are lit from behind are hard to examine closely.;[]
Jan Workinger emerges from American Airlines Flight 115 and examines the faces around Gate 25.;[]
In Kindred 1002 alone, the scientists have examined 350 members.;[]
For the second study, researchers will examine policies that could lessen concentrations of gases contributing to global warming.;[]
Mr. Cossa's grain bin may be filling up, but just last month another 100 peasants moved into the village to escape the fighting.;[]
The regional carrier said load factor, or the percentage of available seats filled, decreased to 43% from 44%.;[]
Passenger loads, the number of seats filled per plane, increased to 58.8% from 56.1%.;[]
The airline said its January load factor, or the percentage of available seats filled, fell to 49.3% from 52.8%.;[]
The courts of appeals are filled with able judges of a moderate to conservative stripe.;[]
Allen J. Krowe leaves his job as executive vice president and a director of IBM to fill the positions at Texaco currently held by Richard G. Brinkman.;[]
Wynfred Joshua of the Defense Intelligence Agency says that if the U.S. does not seize the opportunity to engage the Iranians, the Soviet Union will fill the void.;[]
Merrill O. Burns was named a director of this utility, filling a vacancy.;[]
The load factor, or percentage of seats filled, for the month declined to 54.6% from 55.7% a year earlier.;[]
Passenger loads, the number of seats filled per plane, increased to 58.8% from 56.1%.;[]
They said the agency's enforcement division examined suspicious trading with total potential profit of more than $1 million in the May 1986 takeover of Sperry by Burroughs. Filled with questions, investors sought answers.;[]
"Ford will recall 103,000 1986 Aerostar, Bronco II, and Ranger SuperCab vehicles to fix an electrical problem.""";[]
"""She demanded that he send an engineer to fix it.""";[]
"""So, a few months ago he paid the equivalent of about $800 to get his nose fixed.""";[]
"""Currently, the company is fixing only 200 to 300 units a day, far below TRW’s goal of 2,000 units a day.""";[]
"""BMW of North America Inc. and Chrysler Corp. are recalling a total of 22,000 cars in California to fix faulty anti-smog devices.""";[]
"""Pillsbury itself recently has been making a more dedicated effort to fix Burger King.""";[]
Mechanics have stripped one airworthy helicopter down to its skeleton for parts to fix three others.;[]
The airline simply fixed the problem by moving the flight to another departure gate.;[]
The U.S. sales arm of Honda Motor Co. of Japan said it is recalling approximately 66,000 Honda Prelude cars to fix a defect that could cause smoke or fire under the hood.;[]
"""Automatic transmissions of all makes are sometimes mis-shifted by careless drivers, it says, adding that its later models weren’t fixed, just refined.""";[]
Mr. Teets said, 'If it isn’t working, we’ll fix it.';[]
Ford called the ambulances back again because it said it found a better method to fix the problem.;[]
The court has been flooded with briefs by manufacturers and the insurance industry, which argue for limits on liability and damages.;[]
Most of the land will be flooded when the project is finished.;[]
If the area were flooded, these mud-embedded bombs might loosen and float to the surface.;[]
Refugees from Romania have been flooding into Hungary by the thousands.;[]
Researchers at the University of Illinois, which Mr. Harvey said may have found a chemical that prevents the disease, were also flooded with phone calls.;[]
When it recently placed an advertisement in a local newspaper for several engineering jobs, it was flooded with 700 applicants.;[]
Supermarket chains aren't willing to pay much for beef because they’ve been flooded with cheap poultry.;[]
The vice president's confrontation with Mr. Rather also has raised further questions about the media's performance this political season, as CBS and its affiliates were flooded with phone calls, mostly critical of Mr. Rather.;[]
The Tenneco sale, expected to reap $5 billion to $7 billion, may have hurt Enron's auction by flooding a market in which there already were a large number of properties for sale.;[]
Tempers flared even more after China State's early efforts to dig ponds flooded residents' yards.;[]
Ronald Simmons, the board's president, said the meeting was scheduled because the board has been flooded with phone calls for several weeks about rumors of a sweeping IBM cut of the Boca Raton work force.;[]
Honduras, meanwhile, says it fears hundreds of thousands of Nicaraguan refugees flooding its country.;[]
One morning, he finds that the staff was able to turn back young fans trying to get up to Mick Jagger's suite and that a pipe broke and flooded room 928, which luckily was unoccupied.;[]
And they didn't just grab the clothes, they were trained to grab the flesh.;[]
At one point, the shark disappears, then roars up from the deep to snatch a big chunk of horsemeat on the surface, the way it might grab an unsuspecting sea lion.;[]
His one spectacular crime came in the wee hours of Aug. 8, 1963, his 34th birthday, when he and his pals grabbed 120 sacks of well-worn bank notes being sent to London for pulping.;[]
One also-ran, Naruemol Sillapee, grabbed the tiara from newly crowned Saengravi Wanwilai's coiffure, and clapped it on the curls of first runner-up Duangduan Chithaisong.;[]
Huber prefers local cuisine—wandering through the stalls in South Korean streets and grabbing a dish of this or that.;[]
Suddenly, he jumps off the stage and grabs a woman from the audience to dance with him.;[]
He grabs the rubber chicken by the legs.;[]
About 20 group members who sought to hand out leaflets or address a large crowd in Pushkin Square were immediately grabbed and bundled off into unmarked police vans.;[]
She grabbed hold of his shirt, led him off the bus, and handed him over to a security officer inside the bus station.;[]
